PooledFundId,AllocationYear,ReportApprovedDate,AllocationTypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
15,2014,2016-06-06,6,2,9,198019.8,8402.0,14376.0,5645.0,6365.0,4144.0,27373.0,7763.0,8080.0
15,2014,2016-06-06,6,2,11,209117.82,14994.0,22491.0,1666.0,2499.0,14994.0,22491.0,1666.0,2499.0
15,2014,2016-06-12,6,2,9,198019.8,8000.0,15860.0,6017.0,6689.0,,704.0,2047.0,2649.0
15,2014,2016-06-15,6,2,7,198018.52,35592.0,57728.0,9076.0,9832.0,45369.0,76681.0,21583.0,23427.0
15,2014,2016-06-16,6,2,10,851162.22,23955.0,25835.0,30006.0,30266.0,10990.0,10282.0,51004.0,45193.0
15,2014,2016-06-20,6,2,10,98680.2,400.0,4700.0,350.0,1050.0,400.0,4700.0,350.0,1050.0
15,2014,2016-06-21,6,2,10,250032.0,600.0,4500.0,400.0,500.0,600.0,4735.0,400.0,1500.0
15,2014,2016-06-27,6,2,4,70002.97,43749.0,61248.0,31499.0,38499.0,43749.0,61248.0,31499.0,38499.0
15,2014,2016-07-05,5,1,10,214636.65,18118.0,21918.0,13080.0,15180.0,25160.0,20585.0,12499.0,14709.0
15,2014,2016-07-10,6,2,3,375247.52,122.0,86.0,3856.0,3617.0,209.0,44.0,4434.0,4544.0
15,2014,2016-10-03,5,1,7,250000.0,26775.0,25750.0,8900.0,8575.0,26120.0,24960.0,8700.0,8380.0
15,2014,2016-11-28,6,2,3,247685.14,75.0,75.0,2583.0,1564.0,75.0,75.0,2583.0,1564.0
15,2014,2017-01-08,5,1,7,1363790.0,1190055.0,1125291.0,233379.0,218428.0,1426740.0,1373410.0,292047.0,260027.0
15,2014,2017-02-16,3,2,11,274660.89,6123.0,7908.0,5868.0,5612.0,6123.0,7908.0,5868.0,5612.0
15,2014,2022-12-06,3,2,9,247524.78,10242.0,17564.0,5718.0,9156.0,6157.0,15832.0,11995.0,20615.0
15,2015,2016-03-22,9,1,1,148514.93,800.0,2050.0,950.0,1200.0,1417.0,3277.0,1665.0,2499.0
15,2015,2016-03-22,9,1,3,161024.0,,,1750.0,1750.0,,,2787.0,2547.0
15,2015,2016-03-22,9,1,9,218782.9,,6000.0,796.0,764.0,,7104.0,802.0,758.0
15,2015,2016-04-21,7,2,6,187445.81,,,,,,,,
15,2015,2016-05-02,7,2,10,195508.26,226205.0,751161.0,978187.0,1091290.0,,,,
15,2015,2016-05-02,7,2,11,187464.0,878472.0,914328.0,885528.0,921672.0,342848.0,356841.0,345601.0,359708.0
15,2015,2016-05-03,8,2,4,252474.12,9702.0,13849.0,8704.0,9320.0,8319.0,12126.0,7262.0,8074.0
15,2015,2016-05-04,7,2,6,1162500.0,113190.0,117810.0,49500.0,49500.0,,,,
15,2015,2016-05-04,8,2,6,1710384.8399999999,54964.0,70317.0,35929.0,43646.0,61082.0,75888.0,37463.0,50721.0
15,2015,2016-05-08,7,2,4,1823806.81,277000.0,278000.0,277000.0,278000.0,181597.0,182597.0,181597.0,182598.0
15,2015,2016-05-08,8,2,4,190531.81,16458.0,18137.0,6274.0,6396.0,13684.0,15846.0,6246.0,6405.0
15,2015,2016-05-09,8,2,11,284651.14,28883.0,30061.0,5916.0,6157.0,23106.0,24048.0,4732.0,4925.0
15,2015,2016-05-09,9,1,1,272514.02,100.0,940.0,2849.0,2849.0,303.0,597.0,2597.0,2105.0
