PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
15,2015,2016-05-08,8,2,190531.81,16458.0,18137.0,6274.0,6396.0,13684.0,15846.0,6246.0,6405.0,,,,,,,,
15,2015,2016-05-09,8,2,284651.14,28883.0,30061.0,5916.0,6157.0,23106.0,24048.0,4732.0,4925.0,,,,,,,,
15,2015,2016-05-09,9,1,272514.02,100.0,940.0,2849.0,2849.0,303.0,597.0,2597.0,2105.0,,,,,,,,
15,2015,2016-05-11,8,2,245897.81,21009.0,29050.0,15647.0,16147.0,13152.0,19004.0,13374.0,13535.0,,,,,,,,
15,2015,2016-05-12,9,1,274624.06,12495.0,12495.0,4998.0,5712.0,7359.0,7894.0,8995.0,8553.0,,,,,,,,
15,2015,2016-05-16,7,2,1383343.0,118664.0,174422.0,181531.0,192459.0,101104.0,153767.0,153495.0,162324.0,,,,,,,,
15,2015,2016-05-16,8,2,1117382.24,83921.0,92511.0,51025.0,54783.0,91472.0,119901.0,60475.0,58076.0,,,,,,,,
15,2015,2016-05-17,8,2,907484.39,176282.0,209728.0,71571.0,74487.0,160201.0,185437.0,105296.0,122760.0,,,,,,,,
15,2015,2016-05-19,8,2,1019589.01,162486.0,241754.0,63387.0,66032.0,123657.0,154804.0,81786.0,90977.0,,,,,,,,
15,2015,2016-05-19,9,1,264960.89,1536.0,2343.0,2020.0,2181.0,1614.0,2463.0,2123.0,2294.0,,,,,,,,
15,2015,2016-05-23,7,2,150000.0,1875.0,13984.0,10.0,68.0,1875.0,25000.0,50.0,853.0,,,,,,,,
15,2015,2016-05-25,7,2,464984.0,,,27000.0,27000.0,466.0,324.0,26378.0,28576.0,,,,,,,,
15,2015,2016-05-26,7,2,73348.5,,,,,,,,,,,,,,,,
15,2015,2016-05-26,8,2,217821.78,5000.0,8950.0,5760.0,6000.0,5000.0,8950.0,5760.0,6000.0,,,,,,,,
15,2015,2016-06-02,8,2,757250.4400000001,68974.0,95541.0,54502.0,58223.0,63484.0,84585.0,56408.0,62043.0,,,,,,,,
15,2015,2016-06-06,7,2,187250.0,,,,,,,,,,,,,,,,
15,2015,2016-06-06,8,2,2360602.98,300988.0,403719.0,162133.0,206405.0,292373.0,465541.0,163154.0,210838.0,,,,,,,,
15,2015,2016-06-06,9,1,160500.0,,575.0,5462.0,5463.0,,558.0,5610.0,5390.0,,,,,,,,
15,2015,2016-06-12,7,2,1023000.25,,12280.0,6140.0,6140.0,,,7967.0,7967.0,,,,,,,,
15,2015,2016-06-12,8,2,129472.33,12041.0,14717.0,3597.0,4396.0,1886.0,5286.0,4096.0,5005.0,,,,,,,,
15,2015,2016-06-15,7,2,167856.25,1793683.0,1868684.0,402774.0,434859.0,1793683.0,1868684.0,402774.0,434859.0,,,,,,,,
15,2015,2016-06-15,8,2,831108.75,29965.0,39230.0,11156.0,13044.0,16850.0,21055.0,3047.0,3602.0,,,,,,,,
15,2015,2016-06-16,8,2,682643.1799999999,9914.0,11738.0,16269.0,17567.0,7726.0,10477.0,15148.0,16315.0,,,,,,,,
15,2015,2016-06-16,9,1,200000.0,5120.0,5120.0,4280.0,4526.0,7662.0,8994.0,8319.0,10189.0,,,,,,,,
15,2015,2016-06-19,8,2,198021.13,25240.0,22134.0,28231.0,43557.0,17918.0,27553.0,40714.0,49067.0,,,,,,,,
15,2015,2016-06-19,9,1,120000.5,1500.0,1500.0,3500.0,3500.0,2195.0,3990.0,2652.0,2420.0,,,,,,,,
15,2015,2016-06-20,8,2,222758.25,6670.0,9240.0,1370.0,1430.0,7194.0,11619.0,1630.0,1573.0,,,,,,,,
15,2015,2016-06-21,7,2,465000.0,,19520.0,,4880.0,,19520.0,,4880.0,,,,,,,,
15,2015,2016-06-23,7,2,1300000.0,36404.0,37882.0,54605.0,56823.0,69655.0,72479.0,104483.0,108723.0,,,,,,,,
