PooledFundName,PooledFundId,FiscalYear,DonorName,DonorCode,GMSDonorId,GMSDonorName,ContributionAmt,ContributionPercent
Syria Cross border,70,2020,Government of Denmark,5,8,Denmark,9085481.22,0.79000
Colombia,52,2009,Sida,20,22,Sweden,431790.00,2.86000
Sudan,15,2016,Government of Denmark,5,8,Denmark,2896787.46,0.17000
oPt,67,2014,Government of Denmark,5,8,Denmark,982912.98,0.20000
Syria Cross border,70,2020,Government of Belgium,4,6,Belgium,7600434.31,0.66000
Lebanon,71,2014,India,56,56,India,500000.00,0.16000
Myanmar,59,2024,Government of Luxembourg,10,15,Luxembourg,589978.68,0.14000
Jordan,73,2020,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),97.50,0.00000
Asia Pacific Regional Envelope (RHPF-AP),501,2025,Japan,60,60,Japan,375000.00,10.74000
Ethiopia,53,2020,Government of Canada,119,7,Canada,2891478.58,0.26000
Haiti,54,2010,Mongolia,77,77,Mongolia,20000.00,0.02000
Iraq,72,2020,Government of Belgium,4,6,Belgium,4343105.32,1.15000
Nigeria,75,2021,IRISH AID,23,13,Ireland,1210653.75,0.32000
Ukraine,81,2021,United States,102,102,United States,1000000.00,0.09000
DRC,24,2015,IRISH AID,23,13,Ireland,3258270.00,0.21000
Yemen,64,2017,Government of Switzerland,16,24,Switzerland,3476152.32,0.28000
CAR,17,2024,IRISH AID,23,13,Ireland,3246753.25,0.86000
Venezuela,83,2025,Sida,20,22,Sweden,1292560.99,1.65000
Yemen,64,2022,Morocco,78,78,Morocco,1000000.00,0.08000
Sudan,15,2025,Sida,20,22,Sweden,7449582.26,0.44000
Nigeria,75,2025,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),2989.73,0.00000
Chad (RhPF-WCA),90,2025,IRISH AID,23,13,Ireland,1135073.78,0.97000
Ethiopia,53,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,40540879.43,3.62000
Afghanistan,23,2025,Government of Germany,7,11,Germany,3488523.73,0.29000
Yemen,64,2022,Lithuania,67,67,Lithuania,32258.06,0.00000
Somalia,21,2022,Government of Denmark,5,8,Denmark,8570997.97,0.97000
Somalia,21,2019,Government of Switzerland,16,24,Switzerland,1558005.46,0.18000
CAR,17,2019,IRISH AID,23,13,Ireland,3366576.00,0.89000
Yemen,64,2019,Government of Republic of Korea,14,63,Republic of Korea,2000000.00,0.16000
South Sudan,19,2018,Government of Belgium,4,6,Belgium,4930400.00,0.40000
Syria,62,2016,Government of Denmark,5,8,Denmark,2987977.53,0.39000
Syria,62,2018,Kuwait,64,64,Kuwait,100000.00,0.01000
Ethiopia,53,2015,Government of Switzerland,16,24,Switzerland,3073942.80,0.27000
oPt,67,2011,Government of Spain,15,21,Spain,682128.24,0.14000
Ukraine,81,2026,Government of Canada,119,7,Canada,2918417.37,0.26000
Ethiopia,53,2017,IRISH AID,23,13,Ireland,3678371.13,0.33000
Syria,62,2017,Government of Luxembourg,10,15,Luxembourg,265392.78,0.03000
Somalia,21,2023,T&#252;rkiye,1028,99,Türkiye,50000.00,0.01000
Somalia,21,2026,Sida,20,22,Sweden,2132616.25,0.24000
Ethiopia,53,2018,Government of Switzerland,16,24,Switzerland,1511597.39,0.13000
Ukraine,81,2025,Government of Norway,12,17,Norway,23579460.89,2.10000
Syria,62,2023,Latvia,65,65,Latvia,75026.80,0.01000
South Sudan,19,2018,IRISH AID,23,13,Ireland,1167476.00,0.09000
Afghanistan,23,2026,Government of Denmark,5,8,Denmark,5489646.68,0.46000
Afghanistan,23,2020,Government of Germany,7,11,Germany,5038556.00,0.42000
Syria,62,2018,Government of Spain,15,21,Spain,1179245.28,0.16000
Mali (RhPF-WCA),86,2026,Government of Norway,12,17,Norway,650530.06,1.73000
Ethiopia,53,2026,United States,102,102,United States,100000000.00,8.92000
South Sudan,19,2015,Swiss Agency for Development and Cooperation,22,24,Switzerland,1770696.85,0.14000
Yemen,64,2019,Monaco,76,76,Monaco,113765.64,0.01000
Yemen,64,2019,Jersey,120,120,Jersey,515630.84,0.04000
oPt,67,2015,IRISH AID,23,13,Ireland,221238.94,0.04000
Yemen,64,2021,Government of Azerbaijan,3,5,Azerbaijan,46666.67,0.00000
