PooledFundName,PooledFundId,FiscalYear,DonorName,DonorCode,GMSDonorId,GMSDonorName,ContributionAmt,ContributionPercent
oPt,67,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,4216314.36,0.84000
Lebanon,71,2026,Government of Australia,2,3,Australia,4106492.70,1.29000
Venezuela,83,2021,IRISH AID,23,13,Ireland,563063.06,0.72000
Venezuela,83,2023,EUROPEAN UNION,105,105,European Commission,2202643.17,2.82000
Burkina Faso (RhPF-WCA),85,2021,Government of Luxembourg,10,15,Luxembourg,426829.27,0.45000
Yemen,64,2012,Government of Republic of Korea,14,63,Republic of Korea,500000.00,0.04000
Yemen,64,2017,IRISH AID,23,13,Ireland,5824147.97,0.47000
Somalia,21,2019,Government of Republic of Korea,14,63,Republic of Korea,200000.00,0.02000
Syria,62,2016,Iceland,55,55,Iceland,300000.00,0.04000
Nigeria,75,2017,IRISH AID,23,13,Ireland,2275312.86,0.60000
Syria,62,2021,Government of Luxembourg,10,15,Luxembourg,1000223.77,0.13000
oPt,67,2019,Government of Norway,12,17,Norway,1086524.16,0.22000
Niger (RhPF-WCA),84,2025,Iceland,55,55,Iceland,246209.00,0.36000
Ethiopia,53,2016,Sida,20,22,Sweden,968768.01,0.09000
CAR,17,2018,Government of Germany,7,11,Germany,6223800.00,1.65000
Ukraine,81,2020,EUROPEAN UNION,105,105,European Commission,1118900.00,0.10000
Syria Cross border,70,2017,Sida,20,22,Sweden,4190625.28,0.36000
Ukraine,81,2026,Iceland,55,55,Iceland,806696.22,0.07000
Afghanistan,23,2025,Government of Norway,12,17,Norway,1877532.62,0.16000
oPt,67,2012,Sida,20,22,Sweden,1131120.00,0.23000
South Pacific Envelope (RHPF-AP),507,2026,Government of Australia,2,3,Australia,2090723.85,48.97000
Ethiopia,53,2013,Sida,20,22,Sweden,1515399.95,0.14000
South Sudan,19,2014,Government of Belgium,4,6,Belgium,6276525.01,0.51000
