PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget,FundType
1,4,2021,Samangan,35.9807296,67.5708536,,1
1,4,2021,Sar-e-Pul,35.6707473,66.0463534,,1
1,4,2021,Takhar,36.6698013,69.4784541,,1
1,4,2021,Uruzgan,32.9271287,66.1415263,,1
1,4,2021,Wardak,34.3513494,68.2385339,,1
1,4,2021,Zabul,32.1918782,67.1894488,,1
1,3,2014,Khost,33.3585079,69.8597406,,1
1,3,2014,Paktika,32.2645386,68.5247149,,1
1,3,2016,Kabul,34.533333,69.166667,,1
1,3,2016,Kandahar,30.9960679,65.475736,,1
1,3,2016,Kunar,34.8465893,71.097317,,1
1,3,2016,Laghman,34.6897687,70.1455805,,1
1,3,2016,Nangarhar,34.1718313,70.6216794,,1
1,3,2018,Badghis,35.1671339,63.7695384,,1
1,3,2018,Balkh,36.8909158,67.1894488,,1
1,3,2018,Faryab,36.0795613,64.905955,,1
1,3,2018,Ghor,34.0995776,64.905955,,1
1,3,2018,Hilmand,31.3636474,63.9586111,,1
1,3,2018,Hirat,34.341944,62.203056,,1
1,3,2018,Jawzjan,36.8969692,65.6658568,,1
1,3,2018,Kandahar,30.9960679,65.475736,,1
1,3,2018,Kunduz,36.8599307,68.7154975,,1
1,3,2018,Samangan,35.9807296,67.5708536,,1
1,3,2018,Sar-e-Pul,35.6707473,66.0463534,,1
1,3,2018,Takhar,36.6698013,69.4784541,,1
1,3,2018,Zabul,32.1918782,67.1894488,,1
1,3,2020,Badakhshan,36.7347725,70.8119953,,1
1,3,2020,Badghis,35.1671339,63.7695384,,1
1,3,2020,Daykundi,33.669495,66.0463534,,1
1,3,2020,Faryab,36.0795613,64.905955,,1
1,3,2020,Ghazni,33.55,68.416667,,1
1,3,2020,Ghor,34.0995776,64.905955,,1
1,3,2020,Hirat,34.341944,62.203056,,1
1,3,2020,Jawzjan,36.8969692,65.6658568,,1
1,3,2020,Kandahar,30.9960679,65.475736,,1
1,3,2020,Laghman,34.6897687,70.1455805,,1
1,3,2020,Nangarhar,34.1718313,70.6216794,,1
1,3,2020,Nuristan,35.3250223,70.9071236,,1
1,3,2020,Paktika,32.2645386,68.5247149,,1
1,3,2020,Samangan,35.9807296,67.5708536,,1
1,3,2020,Uruzgan,32.9271287,66.1415263,,1
1,3,2020,Wardak,34.3513494,68.2385339,,1
1,3,2021,Badakhshan,36.7347725,70.8119953,,1
1,3,2021,Badghis,35.1671339,63.7695384,,1
1,3,2021,Baghlan,35.8042947,69.2877535,,1
1,3,2021,Balkh,36.8909158,67.1894488,,1
