PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
23,Afghanistan,AFG23,ERF/AHF/78017/85393/2026,2026,Government of Australia,2,3,Australia,AU,5/18/2026 12:00:00 AM,6521739.13,3/3/2026 12:00:00 AM,6/22/2026 12:00:00 AM,6342120.68,1/1/0001 12:00:00 AM,AUD,1.41,AUD,1.42,9000000,8999469.24,0
23,Afghanistan,AFG23,ERF/AHF/78133/85651/2026,2026,EUROPEAN UNION,105,105,European Commission,EU,7/21/2026 12:00:00 AM,11428571.43,5/22/2026 12:00:00 AM,8/4/2026 12:00:00 AM,11507479.86,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.87,10000000,10000000,0
23,Afghanistan,AFG23,ERF/AHF/78224/85798/2026,2026,Government of Netherlands,11,16,Netherlands,NL,7/14/2026 12:00:00 AM,12571428.57,7/10/2026 12:00:00 AM,7/16/2026 12:00:00 AM,12571428.57,1/1/0001 12:00:00 AM,EUR,0.88,EUR,0.88,11000000,11000000,0
23,Afghanistan,AFG23,ERF/AHF/78021/85397/2026,2026,Government of Germany,7,11,Germany,DE,5/13/2026 12:00:00 AM,7953216.37,3/3/2026 12:00:00 AM,5/26/2026 12:00:00 AM,7962529.27,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.85,6800000,6800000,0
501,Asia Pacific Regional Envelope (RHPF-AP),AP501,ERF/Region_RHPF_AP/78112/85604/2026,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),UNF,1/20/2026 12:00:00 AM,237.35,4/24/2026 12:00:00 AM,5/28/2026 12:00:00 AM,237.35,1/1/0001 12:00:00 AM,USD,1,USD,1,237.35,237.35,0
501,Asia Pacific Regional Envelope (RHPF-AP),AP501,ERF/Region_RHPF_AP/78042/85437/2026,2026,Government of Canada,119,7,Canada,CA,3/27/2026 12:00:00 AM,367647.06,3/12/2026 12:00:00 AM,7/14/2026 12:00:00 AM,354388.48,1/1/0001 12:00:00 AM,CAD,1.37,CAD,1.41,500000,500042.14,0
501,Asia Pacific Regional Envelope (RHPF-AP),AP501,ERF/Region_RHPF_AP/78182/85724/2026,2026,Government of Australia,2,3,Australia,AU,6/18/2026 12:00:00 AM,1467677.04,6/17/2026 12:00:00 AM,6/26/2026 12:00:00 AM,1464700.86,1/1/0001 12:00:00 AM,AUD,1.43,AUD,1.44,2101713.52,2101845.73,0
99,Bangladesh (AP-RHPF),AP501,ERF/B_RHPF_AP-US/78003/85333/2026,2026,United States,102,102,United States,US,2/19/2026 12:00:00 AM,150000000,2/16/2026 12:00:00 AM,3/13/2026 12:00:00 AM,150000000,1/1/0001 12:00:00 AM,USD,1,USD,1,150000000,150000000,0
99,Bangladesh (AP-RHPF),AP501,ERF/B_RHPF_AP-US/78249/85836/2026,2026,United States,102,102,United States,US,8/7/2026 12:00:00 AM,150000000,8/7/2026 12:00:00 AM,1/1/0001 12:00:00 AM,0,1/1/0001 12:00:00 AM,USD,1,USD,0,150000000,0,0
85,Burkina Faso (RhPF-WCA),BFA85,ERF/BF_CBPF_RHPF/78008/85342/2026,2026,Government of Luxembourg,10,15,Luxembourg,LU,4/13/2026 12:00:00 AM,286368.84,2/23/2026 12:00:00 AM,4/13/2026 12:00:00 AM,286368.85,1/1/0001 12:00:00 AM,EUR,0.84,EUR,0.87,250000,250000,0
85,Burkina Faso (RhPF-WCA),BFA85,ERF/BF_CBPF_RHPF/78112/85595/2026,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),UNF,1/20/2026 12:00:00 AM,821.24,4/24/2026 12:00:00 AM,5/28/2026 12:00:00 AM,821.24,1/1/0001 12:00:00 AM,USD,1,USD,1,821.24,821.24,0
85,Burkina Faso (RhPF-WCA),BFA85,ERF/BF_CBPF_RHPF/77584/84464/2025,2026,Government of Canada,119,7,Canada,CA,5/1/2025 12:00:00 AM,252525.25,3/19/2025 12:00:00 AM,7/14/2026 12:00:00 AM,248071.93,1/1/0001 12:00:00 AM,CAD,1.44,CAD,1.41,350000,350029.5,0
85,Burkina Faso (RhPF-WCA),BFA85,ERF/BF_CBPF_RHPF/77981/85331/2026,2026,Sida,20,22,Sweden,SE,3/16/2026 12:00:00 AM,2148458.48,2/2/2026 12:00:00 AM,3/30/2026 12:00:00 AM,2132616.25,1/1/0001 12:00:00 AM,SEK,8.81,SEK,9.38,20000000,19999675.21,0
85,Burkina Faso (RhPF-WCA),BFA85,ERF/BF_CBPF_RHPF/78042/85424/2026,2026,Government of Canada,119,7,Canada,CA,3/27/2026 12:00:00 AM,294117.65,3/12/2026 12:00:00 AM,7/14/2026 12:00:00 AM,283510.78,1/1/0001 12:00:00 AM,CAD,1.37,CAD,1.41,400000,400033.71,0
85,Burkina Faso (RhPF-WCA),BFA85,ERF/BF_CBPF_RHPF/78276/85870/2026,2026,Sida,20,22,Sweden,SE,9/11/2026 12:00:00 AM,2415712.64,9/11/2026 12:00:00 AM,1/1/0001 12:00:00 AM,0,1/1/0001 12:00:00 AM,SEK,9.52,SEK,0,23000000,0,0
85,Burkina Faso (RhPF-WCA),BFA85,ERF/BF_CBPF_RHPF/78082/85639/2026,2026,Government of Norway,12,17,Norway,NO,5/13/2026 12:00:00 AM,645369.47,4/15/2026 12:00:00 AM,5/22/2026 12:00:00 AM,650530.06,1/1/0001 12:00:00 AM,NOK,9.48,NOK,9.22,6000000,5999838.78,0
