PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
15,SUD-18/HSD20/RE/H/UN/11359,7,100.00,292##293##,Red Sea,Port Sudan,,,,,57750##64575##24150##34825,57750##64575##24150##34825,,,,,"19.45560630,35.21484690","19.58958400,37.21520300",,,,,245000.147,245000.147,,,,,2018,56722##63426##23720##34205,53860##60226##22523##32480,,,,
15,SUD-18/HSD20/RE/H/UN/11359,7,100.00,292##293##,Red Sea,Sawken,,,,,41250##46125##17250##24875,41250##46125##17250##24875,,,,,"19.45560630,35.21484690","19.10514400,37.33187800",,,,,175000.105,175000.105,,,,,2018,40759##45576##17045##24579,41534##46443##17369##25046,,,,
15,SUD-18/HSD20/RE/H/UN/11359,7,100.00,292##293##,Red Sea,Senkat,,,,,66000##73800##27600##39800,66000##73800##27600##39800,,,,,"19.45560630,35.21484690","18.83530800,36.83378500",,,,,280000.168,280000.168,,,,,2018,66442##74294##27785##40066,66763##74653##27919##40260,,,,
15,SUD-18/HSD20/RE/H/UN/11360,7,100.00,292##293##,Red Sea,Port Sudan,,,,,83535##86944##90497##94190,83535##86944##90497##94190,,,,,"19.45560630,35.21484690","19.58958400,37.21520300",,,,,210161.910,210161.910,,,,,2018,79348##82586##85961##89469,74445##77483##80649##83940,,,,
15,SUD-18/HSD20/RE/H/UN/11360,7,100.00,292##293##,Red Sea,Sawken,,,,,11933##12420##12927##13455,11933##12420##12927##13455,,,,,"19.45560630,35.21484690","19.10514400,37.33187800",,,,,30023.130,30023.130,,,,,2018,12432##12939##13468##14018,10971##11419##11885##12370,,,,
15,SUD-18/HSD20/RE/H/UN/11360,7,100.00,292##293##,Red Sea,Senkat,,,,,23867##24841##25855##26911,23867##24841##25855##26911,,,,,"19.45560630,35.21484690","18.83530800,36.83378500",,,,,60046.260,60046.260,,,,,2018,23781##24752##25762##26814,21579##22460##23376##24331,,,,
15,SUD-18/HSD20/RE/H-N/INGO/10459,7|||9,70.00|||30.00,292##293##,West Kordofan,El Nehoud,,,,,3313##4049##261##319|||1419##1735##111##136,3313##4049##261##319|||1419##1735##111##136,,,,,"11.89871900,28.12255600","12.69402500,28.43070300",,,,,419739.579|||179888.391,419739.579|||179888.391,,,,,2018,3442##4207##271##331|||1474##1803##115##141,3426##4188##270##330|||1468##1794##115##141,,,,
15,SUD-18/HSD20/RE/H-N/INGO/9217,7|||9,60.00|||40.00,292##293##,South Kordofan,El Abassiya,,,,,5106##6562##2926##3179|||3404##4374##1950##2119,5106##6562##2926##3179|||3404##4374##1950##2119,,,,,"11.19901920,29.41793240","12.17040100,31.30858000",,,,,174008.964|||116005.976,174008.964|||116005.976,,,,,2018,4254##5467##2438##2648|||2836##3644##1624##1765,4608##5923##2641##2869|||3072##3948##1760##1912,,,,
15,SUD-18/HSD20/RE/H-N-WASH-ESNFIs/INGO/9210,4|||7|||9|||11,25.00|||25.00|||25.00|||25.00,292##293##,South Darfur,Dimsu,,,,,519##562##346##375|||520##564##347##375|||519##562##346##375|||519##562##346##375,519##562##346##375|||520##564##347##375|||519##562##346##375|||519##562##346##375,,,,,"11.64886390,24.90422080","10.94984400,24.57997000",,,,,164501.193|||164501.193|||164501.193|||164501.193,164501.193|||164501.193|||164501.193|||164501.193,,,,,2018,516##558##344##373|||517##560##345##373|||516##558##344##373|||516##558##344##373,423##458##282##306|||424##460##283##306|||423##458##282##306|||423##458##282##306,,,,
15,SUD-18/HSD20/RE/L/UN/10939,8,100.00,292##,Blue Nile,,,,,,27##27##0##0,,,,,,"11.58600780,34.15319470",,,,,,10000.000,,,,,,2018,28##28##0##0,,,,,
