PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
15,SUD-15/HSD20/R/E/UN/1326,3,100.00,290##,North Darfur,,,,,,0##0##0##0,,,,,,"15.76619690,24.90422080",,,,,,0.000,,,,,,2015,0##0##0##0,,,,,
15,SUD-15/HSD20/R/E/UN/1326,3,100.00,290##291##,North Darfur,Dar El Salam,,,,,0##0##350##350,0##0##350##350,,,,,"15.76619690,24.90422080","13.05653300,25.52211400",,,,,32204.800,32204.800,,,,,2015,0##0##355##355,0##0##328##328,,,,
15,SUD-15/HSD20/R/E/UN/1326,3,100.00,290##291##,North Darfur,Tawilla,,,,,0##0##1400##1400,0##0##1400##1400,,,,,"15.76619690,24.90422080","13.51573400,24.86525500",,,,,128819.200,128819.200,,,,,2015,0##0##1308##1308,0##0##1207##1207,,,,
15,SUD-15/HSD20/R/H/INGO/1515,7,100.00,290##291##,Central Darfur,Azum,,,,,174##181##142##148,174##181##142##148,,,,,"12.33330000,23.41670000","12.92000000,22.84667000",,,,,32673.267,32673.267,,,,,2015,147##153##120##125,155##162##127##132,,,,
15,SUD-15/HSD20/R/H/INGO/1515,7,100.00,290##291##,Central Darfur,Zalingei,,,,,180##188##149##154,180##188##149##154,,,,,"12.33330000,23.41670000","12.89998900,23.48106400",,,,,33663.366,33663.366,,,,,2015,176##183##145##150,172##180##142##147,,,,
15,SUD-15/HSD20/R/H/INGO/1515,7,100.00,290##291##,West Darfur,Kreinik,,,,,174##181##142##148,174##181##142##148,,,,,"12.84635610,23.00119890","13.36699400,22.88005500",,,,,32673.267,32673.267,,,,,2015,174##181##142##148,168##175##137##143,,,,
15,SUD-15/HSD20/R/H/UN/1517,7,100.00,290##291##,Central Darfur,Azum,,,,,20105##22671##30157##34007,20105##22671##30157##34007,,,,,"12.33330000,23.41670000","12.92000000,22.84667000",,,,,41250.840,41250.840,,,,,2015,19215##21668##28822##32502,18660##21042##27990##31563,,,,
15,SUD-15/HSD20/R/H/UN/1517,7,100.00,290##291##,Central Darfur,Zalingei,,,,,20105##22671##30157##34007,20105##22671##30157##34007,,,,,"12.33330000,23.41670000","12.89998900,23.48106400",,,,,41250.840,41250.840,,,,,2015,19487##21975##29231##32962,19860##22394##29789##33592,,,,
15,SUD-15/HSD20/R/H/UN/1517,7,100.00,290##291##,East Darfur,Ed Daein,,,,,20105##22671##30157##34007,20105##22671##30157##34007,,,,,"14.37827470,24.90422080","11.42654100,26.14930600",,,,,41250.840,41250.840,,,,,2015,17128##19314##25691##28971,17811##20085##26717##30127,,,,
15,SUD-15/HSD20/R/H/UN/1517,7,100.00,290##291##,North Darfur,El Sireaf,,,,,20105##22671##30157##34007,20105##22671##30157##34007,,,,,"15.76619690,24.90422080","13.98880100,23.37933500",,,,,41250.840,41250.840,,,,,2015,18095##20405##27142##30607,16759##18898##25139##28348,,,,
15,SUD-15/HSD20/R/H/UN/1517,7,100.00,290##291##,West Darfur,El Geneina,,,,,26808##30232##40215##45348,26808##30232##40215##45348,,,,,"12.84635610,23.00119890","13.44126600,22.44540400",,,,,55001.120,55001.120,,,,,2015,26175##29519##39266##44278,26739##30154##40111##45231,,,,
15,SUD-15/HSD20/R/H/UN/1517,7,100.00,290##291##,West Darfur,Kreinik,,,,,26807##30229##40210##45343,26807##30229##40210##45343,,,,,"12.84635610,23.00119890","13.36699400,22.88005500",,,,,55001.120,55001.120,,,,,2015,23558##26565##35336##39847,24386##27499##36578##41248,,,,
15,SUD-15/HSD20/R/H-WASH/UN/1516,7|||11,66.00|||34.00,290##291##,Central Darfur,Azum,,,,,3865##4023##4187##4358|||1991##2072##2157##2245,3865##4023##4187##4358|||1991##2072##2157##2245,,,,,"12.33330000,23.41670000","12.92000000,22.84667000",,,,,27359.777|||14094.431,27359.777|||14094.431,,,,,2015,3201##3331##3467##3609|||1649##1716##1786##1859,3392##3530##3674##3824|||1747##1818##1893##1970,,,,
15,SUD-15/HSD20/R/H-WASH/UN/1516,7|||11,66.00|||34.00,290##291##,Central Darfur,Zalingei,,,,,14688##15287##15912##16561|||7566##7875##8197##8531,14688##15287##15912##16561|||7566##7875##8197##8531,,,,,"12.33330000,23.41670000","12.89998900,23.48106400",,,,,103967.152|||53558.836,103967.152|||53558.836,,,,,2015,13757##14318##14904##15512|||7087##7376##7678##7990,14337##14922##15532##16166|||7385##7687##8001##8327,,,,
15,SUD-15/HSD20/R/H-WASH/UN/1516,7|||11,66.00|||34.00,290##291##,East Darfur,Ed Daein,,,,,9276##9655##10049##10459|||4778##4973##5177##5388,9276##9655##10049##10459|||4778##4973##5177##5388,,,,,"14.37827470,24.90422080","11.42654100,26.14930600",,,,,65663.465|||33826.633,65663.465|||33826.633,,,,,2015,8002##8329##8669##9023|||4122##4290##4466##4648,8696##9051##9421##9805|||4479##4662##4853##5051,,,,
15,SUD-15/HSD20/R/H-WASH/UN/1516,7|||11,66.00|||34.00,290##291##,North Darfur,El Sireaf,,,,,3092##3218##3349##3486|||1592##1657##1725##1796,3092##3218##3349##3486|||1592##1657##1725##1796,,,,,"15.76619690,24.90422080","13.98880100,23.37933500",,,,,21887.822|||11275.544,21887.822|||11275.544,,,,,2015,2748##2860##2976##3098|||1415##1473##1533##1596,2914##3033##3156##3286|||1500##1562##1626##1693,,,,
15,SUD-15/HSD20/R/H-WASH/UN/1516,7|||11,66.00|||34.00,290##291##,West Darfur,El Geneina,,,,,21645##22528##23449##24406|||11150##11605##12079##12573,21645##22528##23449##24406|||11150##11605##12079##12573,,,,,"12.84635610,23.00119890","13.44126600,22.44540400",,,,,153214.751|||78928.811,153214.751|||78928.811,,,,,2015,18252##18996##19773##20580|||9402##9786##10185##10602,18335##19083##19863##20674|||9445##9830##10232##10650,,,,
