PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Ar Rahad,,,,,3448##3448##2497##2497,3448##3448##2497##2497,,,,,"13.83064410,29.41793240","13.83064410,29.41793240",,,,,108300.00,108300.00,,,,,2025,3601##3601##2608##2608,3569##3569##2585##2585,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Bara,,,,,3454##3454##2501##2501,3454##3454##2501##2501,,,,,"13.83064410,29.41793240","13.69943700,30.37097700",,,,,108300.00,108300.00,,,,,2025,3067##3067##2221##2221,2784##2784##2016##2016,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Jebrt El Sheekh,,,,,3454##3454##2501##2501,3454##3454##2501##2501,,,,,"13.83064410,29.41793240","14.20000000,30.88333300",,,,,108300.00,108300.00,,,,,2025,3092##3092##2239##2239,3451##3451##2499##2499,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Shiekan,,,,,3454##3454##2501##2501,3454##3454##2501##2501,,,,,"13.83064410,29.41793240","12.73333300,30.25000000",,,,,108300.00,108300.00,,,,,2025,3055##3055##2212##2212,3571##3571##2586##2586,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Sodari,,,,,3454##3454##2507##2507,3454##3454##2507##2507,,,,,"13.83064410,29.41793240","14.40967800,29.09945900",,,,,108300.00,108300.00,,,,,2025,2822##2822##2048##2048,3538##3538##2568##2568,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Um Rwaba,,,,,3454##3454##2501##2501,3454##3454##2501##2501,,,,,"13.83064410,29.41793240","12.90946000,31.21708000",,,,,108300.00,108300.00,,,,,2025,2975##2975##2154##2154,3530##3530##2556##2556,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Sennar,EL Dali,,,,,794##794##576##576,794##794##576##576,,,,,"13.56746900,33.56720450","13.25000000,33.48333300",,,,,24900.00,24900.00,,,,,2025,751##751##545##545,703##703##510##510,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Sennar,El Souki,,,,,799##799##579##579,799##799##579##579,,,,,"13.56746900,33.56720450","13.31974900,33.88048600",,,,,25050.00,25050.00,,,,,2025,726##726##526##526,828##828##600##600,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Sennar,Sinjja,,,,,794##794##576##576,794##794##576##576,,,,,"13.56746900,33.56720450","13.15910600,33.93624700",,,,,24900.00,24900.00,,,,,2025,735##735##533##533,719##719##522##522,,,,
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Sennar,Sinnar,,,,,799##799##579##579,799##799##579##579,,,,,"13.56746900,33.56720450","13.54218900,33.61723800",,,,,25050.00,25050.00,,,,,2025,719##719##521##521,759##759##550##550,,,,
