PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,Khartoum,Bahri,,,,,24##26##187##188,24##26##187##188,,,,,"15.56666700,32.51666700","15.63649900,32.53033500",,,,,56282.54,56282.54,,,,,2019,22##24##175##176,25##27##191##192,,,,
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,Khartoum,Jebal Aulya,,,,,25##23##187##188,25##23##187##188,,,,,"15.56666700,32.51666700","15.25099700,32.52139400",,,,,56282.54,56282.54,,,,,2019,21##19##158##159,22##20##164##165,,,,
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,Khartoum,Sharq El Nile,,,,,25##25##187##188,25##25##187##188,,,,,"15.56666700,32.51666700","15.91666700,33.81666700",,,,,56282.54,56282.54,,,,,2019,21##21##156##157,22##22##168##169,,,,
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,Khartoum,Um Badah,,,,,25##25##189##186,25##25##189##186,,,,,"15.56666700,32.51666700","16.23333300,31.83333300",,,,,56282.54,56282.54,,,,,2019,22##22##166##163,26##26##196##193,,,,
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,White Nile,El Jabaleen,,,,,65##65##415##415,65##65##415##415,,,,,"13.24038810,32.53727410","12.58930800,32.80071200",,,,,90052.06,90052.06,,,,,2019,63##63##403##403,53##53##340##340,,,,
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,White Nile,El Salam,,,,,65##65##415##415,65##65##415##415,,,,,"13.24038810,32.53727410","12.50000000,32.37500000",,,,,92553.50,92553.50,,,,,2019,63##63##405##405,65##65##415##415,,,,
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,White Nile,Um Ramtta,,,,,71##71##420##420,71##71##420##420,,,,,"13.24038810,32.53727410","14.85000000,32.06666700",,,,,92553.50,92553.50,,,,,2019,57##57##338##338,67##67##397##397,,,,
15,SUD-19/HSD20/RE/ESNFIs/INGO/13249,4,100.00,292##293##,South Darfur,Nyala (Otash and Dereige),,,,,1800##2700##2250##2250,1800##2700##2250##2250,,,,,"11.64886390,24.90422080","12.11500800,24.83135000",,,,,200016.10,200016.10,,,,,2019,1624##2436##2030##2030,1875##2813##2344##2344,,,,
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,Central Darfur,Zalingei,,,,,1849##2451##2774##3677,1849##2451##2774##3677,,,,,"12.33330000,23.41670000","12.89998900,23.48106400",,,,,150000.00,150000.00,,,,,2019,1740##2307##2610##3460,1496##1983##2245##2976,,,,
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,East Darfur,Ed Daein,,,,,0##0##0##0,0##0##0##0,,,,,"14.37827470,24.90422080","11.42654100,26.14930600",,,,,0.00,0.00,,,,,2019,0##0##0##0,0##0##0##0,,,,
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,Kassala,Kassala,,,,,925##1226##1387##1838,925##1226##1387##1838,,,,,"15.45000000,36.40000000","15.42963000,36.41046200",,,,,75000.00,75000.00,,,,,2019,882##1169##1322##1752,888##1177##1332##1765,,,,
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,Khartoum,Jebal Aulya,,,,,461##617##693##919,461##617##693##919,,,,,"15.56666700,32.51666700","15.25099700,32.52139400",,,,,30000.00,30000.00,,,,,2019,425##569##639##847,415##555##624##827,,,,
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,North Darfur,El Fasher,,,,,2774##3667##4160##5515,2774##3667##4160##5515,,,,,"15.76619690,24.90422080","13.62639400,25.35593900",,,,,225000.00,225000.00,,,,,2019,2437##3221##3655##4845,2761##3650##4140##5489,,,,
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,North Kordofan,Shiekan,,,,,4623##6128##6934##9191,4623##6128##6934##9191,,,,,"13.83064410,29.41793240","12.73333300,30.25000000",,,,,375000.00,375000.00,,,,,2019,4368##5790##6551##8684,4055##5376##6083##8062,,,,
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,Red Sea,Agig,,,,,235##313##335##460,235##313##335##460,,,,,"19.45560630,35.21484690","17.58333300,37.90000000",,,,,15000.00,15000.00,,,,,2019,202##269##288##396,213##284##304##418,,,,
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,Red Sea,Toker,,,,,234##295##353##463,234##295##353##463,,,,,"19.45560630,35.21484690","18.42843900,37.72943000",,,,,15000.00,15000.00,,,,,2019,198##249##298##391,240##302##362##474,,,,
