PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
15,CBPF-SUD-23-R-INGO-24811,11,100.00,69##70##,White Nile,El Jabaleen,,,,,1825##2387##4212##5616,1825##2387##4212##5616,,,,,"13.24038810,32.53727410","12.58930800,32.80071200",,,,,499998.57,499998.57,,,,,2023,1892##2475##4368##5823,1487##1945##3433##4577,,,,
15,CBPF-SUD-23-R-INGO-24822,11,100.00,69##70##,West Darfur,El Geneina,,,,,26374##31445##19272##24344,26374##31445##19272##24344,,,,,"12.84635610,23.00119890","13.44126600,22.44540400",,,,,495000.00,495000.00,,,,,2023,26051##31060##19036##24046,23147##27598##16914##21366,,,,
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,Blue Nile,El Kurmuk,,,,,30878##30524##30449##30449,30878##30524##30449##30449,,,,,"11.58600780,34.15319470","10.55902000,34.28953000",,,,,10500.00,10500.00,,,,,2023,24744##24460##24400##24400,32404##32033##31954##31954,,,,
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Al Buram,,,,,77506##77506##66024##66024,77506##77506##66024##66024,,,,,"11.19901920,29.41793240","10.62610400,29.94360000",,,,,22050.00,22050.00,,,,,2023,71704##71704##61082##61082,77709##77709##66197##66197,,,,
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,AL Sunut,,,,,14285##14285##12170##12170,14285##14285##12170##12170,,,,,"11.19901920,29.41793240","12.33076400,29.05503900",,,,,9000.00,9000.00,,,,,2023,13807##13807##11762##11762,13741##13741##11706##11706,,,,
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Dellami,,,,,18641##18641##15879##15879,18641##18641##15879##15879,,,,,"11.19901920,29.41793240","12.25860000,29.74270000",,,,,4800.00,4800.00,,,,,2023,18702##18702##15931##15931,18375##18375##15653##15653,,,,
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Delling,,,,,95811##95811##81617##81617,95811##95811##81617##81617,,,,,"11.19901920,29.41793240","12.04746300,29.65640800",,,,,18000.00,18000.00,,,,,2023,79098##79098##67380##67380,98026##98026##83504##83504,,,,
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,El Abassiya,,,,,25490##25490##21357##21357,25490##25490##21357##21357,,,,,"11.19901920,29.41793240","12.17040100,31.30858000",,,,,7500.00,7500.00,,,,,2023,26578##26578##22269##22269,24684##24684##20682##20682,,,,
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Habila,,,,,14934##14934##12722##12722,14934##14934##12722##12722,,,,,"11.19901920,29.41793240","11.94139000,30.03583000",,,,,4500.00,4500.00,,,,,2023,14174##14174##12075##12075,12991##12991##11067##11067,,,,
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Heiban,,,,,73145##73499##62611##62611,73145##73499##62611##62611,,,,,"11.19901920,29.41793240","11.21079000,30.52480000",,,,,21000.00,21000.00,,,,,2023,63802##64110##54613##54613,72624##72976##62165##62165,,,,
