PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr
15,SUD-16/HSD20/R/CCS/UN/1576,12,100.00,290##,Central Darfur,,,,,,375##240##0##0,,,,,,"12.33330000,23.41670000",,,,,,60002.122,,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1576,12,100.00,290##,East Darfur,,,,,,250##160##0##0,,,,,,"14.37827470,24.90422080",,,,,,40001.415,,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1576,12,100.00,290##,North Darfur,,,,,,750##480##0##0,,,,,,"15.76619690,24.90422080",,,,,,120004.245,,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1576,12,100.00,290##,South Darfur,,,,,,625##400##0##0,,,,,,"11.64886390,24.90422080",,,,,,100003.538,,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1576,12,100.00,290##,West Darfur,,,,,,500##320##0##0,,,,,,"12.84635610,23.00119890",,,,,,80002.830,,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,Central Darfur,Bindisi,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"12.33330000,23.41670000","11.94026700,23.10635000",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,Central Darfur,Nertiti (West Jebel Marra),,,,,1414##1703##1951##1965,1414##1703##1951##1965,,,,,"12.33330000,23.41670000","12.96680000,24.03358000",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,Central Darfur,Rokoro (North Jebel Marra),,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"12.33330000,23.41670000","13.27805600,24.44750000",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,Central Darfur,Umm Dukhun,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"12.33330000,23.41670000","11.13900000,22.96600000",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,Central Darfur,Zalingei,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"12.33330000,23.41670000","12.89998900,23.48106400",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,East Darfur,Abu Jabra,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"14.37827470,24.90422080","11.06626500,26.85414700",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,East Darfur,Abu Karinka,,,,,707##846##973##973,707##846##973##973,,,,,"14.37827470,24.90422080","11.58680600,26.53570200",,,,,4999.935,4999.935,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,East Darfur,Adila,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"14.37827470,24.90422080","11.33207000,26.99384000",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,East Darfur,Ed Daein,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"14.37827470,24.90422080","11.42654100,26.14930600",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Dar El Salam,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"15.76619690,24.90422080","13.05653300,25.52211400",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,El Fasher,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"15.76619690,24.90422080","13.62639400,25.35593900",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,El Sireaf,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"15.76619690,24.90422080","13.98880100,23.37933500",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,El Taweisha,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"15.76619690,24.90422080","12.35462100,26.53700100",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,El Tina,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"15.76619690,24.90422080","15.00035000,22.79972000",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Kebkabiya,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"15.76619690,24.90422080","13.64546000,24.08294000",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Kornoi,,,,,2121##2538##2919##2921,2121##2538##2919##2921,,,,,"15.76619690,24.90422080","15.09431400,23.24431900",,,,,14999.804,14999.804,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Kutum,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"15.76619690,24.90422080","14.20647100,24.64987700",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Mellit,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"15.76619690,24.90422080","14.13602000,25.55285100",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Saraf Omra,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"15.76619690,24.90422080","13.47709700,23.31168600",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Tawilla,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"15.76619690,24.90422080","13.51573400,24.86525500",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Um Baru,,,,,2828##3384##3892##3895|||2828##3384##3892##3895,2828##3384##3892##3895|||2828##3384##3892##3895,,,,,"15.76619690,24.90422080","15.02069000,23.70458000",,,,,19999.738|||19999.738,19999.738|||19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Um Baru,,,,,2828##3384##3892##3895|||2828##3384##3892##3895,2828##3384##3892##3895|||2828##3384##3892##3895,,,,,"15.76619690,24.90422080","15.02069000,23.70458000",,,,,19999.738|||19999.738,19999.738|||19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,North Darfur,Zamzam camp,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"15.76619690,24.90422080","13.48403300,25.30750100",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,South Darfur,Bielel (without Kalma camp),,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"11.64886390,24.90422080","11.99974700,25.16482900",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,South Darfur,Ed El Fursan,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"11.64886390,24.90422080","11.50601400,24.31533100",,,,,9999.869,9999.869,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,South Darfur,Kass (without Kass camp),,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"11.64886390,24.90422080","12.50520900,24.28546100",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,South Darfur,Um Dafug,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"11.64886390,24.90422080","10.71682500,23.51684200",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,South Kordofan,Abu Gubeiha,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"11.19901920,29.41793240","11.45437600,31.23599100",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,South Kordofan,Alleri,,,,,2828##3384##3892##3895,2828##3384##3892##3895,,,,,"11.19901920,29.41793240","11.27361100,30.48333300",,,,,19999.738,19999.738,,,,,2016
15,SUD-16/HSD20/R/CCS/UN/1705,12,100.00,290##291##,West Darfur,Beida,,,,,1414##1692##1946##1947,1414##1692##1946##1947,,,,,"12.84635610,23.00119890","12.71196100,21.88541400",,,,,9999.869,9999.869,,,,,2016
