PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr
15,CBPF-SUD-26-R-INGO-39065,4|||11,50.00|||50.00,69##70##,Red Sea,Port Sudan,,,,,14220##16700##18830##20770|||66895##70830##125920##129855,14220##16700##18830##20770|||66895##70830##125920##129855,,,,,"19.45560630,35.21484690","19.58958400,37.21520300",,,,,3000000.00|||3000000.00,3000000.00|||3000000.00,,,,,2026
15,CBPF-SUD-26-R-INGO-39067,7|||9,50.00|||50.00,69##70##,East Darfur,Ed Daein,,,,,77673##80842##66165##68866|||20000##40000##13950##17050,77673##80842##66165##68866|||20000##40000##13950##17050,,,,,"14.37827470,24.90422080","11.42654100,26.14930600",,,,,3000000.00|||3000000.00,3000000.00|||3000000.00,,,,,2026
81,CBPF-UKR-26-S-O-38919,10,100.00,366##375##,Kyiv,Kyiv,,,,,1085##1470##472##473,1085##1470##472##473,,,,,"50.42981047,30.55437837","50.42981047,30.55437837",,,,,199080.99,199080.99,,,,,2026
