PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr
15,SUD-18/HSD20/RE/H/UN/11359,7,100.00,292##293##,Red Sea,Port Sudan,,,,,57750##64575##24150##34825,57750##64575##24150##34825,,,,,"19.45560630,35.21484690","19.58958400,37.21520300",,,,,245000.147,245000.147,,,,,2018
15,SUD-18/HSD20/RE/H/UN/11359,7,100.00,292##293##,Red Sea,Sawken,,,,,41250##46125##17250##24875,41250##46125##17250##24875,,,,,"19.45560630,35.21484690","19.10514400,37.33187800",,,,,175000.105,175000.105,,,,,2018
15,SUD-18/HSD20/RE/H/UN/11359,7,100.00,292##293##,Red Sea,Senkat,,,,,66000##73800##27600##39800,66000##73800##27600##39800,,,,,"19.45560630,35.21484690","18.83530800,36.83378500",,,,,280000.168,280000.168,,,,,2018
15,SUD-18/HSD20/RE/H/UN/11360,7,100.00,292##293##,Red Sea,Port Sudan,,,,,83535##86944##90497##94190,83535##86944##90497##94190,,,,,"19.45560630,35.21484690","19.58958400,37.21520300",,,,,210161.910,210161.910,,,,,2018
15,SUD-18/HSD20/RE/H/UN/11360,7,100.00,292##293##,Red Sea,Sawken,,,,,11933##12420##12927##13455,11933##12420##12927##13455,,,,,"19.45560630,35.21484690","19.10514400,37.33187800",,,,,30023.130,30023.130,,,,,2018
15,SUD-18/HSD20/RE/H/UN/11360,7,100.00,292##293##,Red Sea,Senkat,,,,,23867##24841##25855##26911,23867##24841##25855##26911,,,,,"19.45560630,35.21484690","18.83530800,36.83378500",,,,,60046.260,60046.260,,,,,2018
15,SUD-18/HSD20/RE/H-N/INGO/10459,7|||9,70.00|||30.00,292##293##,West Kordofan,El Nehoud,,,,,3313##4049##261##319|||1419##1735##111##136,3313##4049##261##319|||1419##1735##111##136,,,,,"11.89871900,28.12255600","12.69402500,28.43070300",,,,,419739.579|||179888.391,419739.579|||179888.391,,,,,2018
15,SUD-18/HSD20/RE/H-N/INGO/9217,7|||9,60.00|||40.00,292##293##,South Kordofan,El Abassiya,,,,,5106##6562##2926##3179|||3404##4374##1950##2119,5106##6562##2926##3179|||3404##4374##1950##2119,,,,,"11.19901920,29.41793240","12.17040100,31.30858000",,,,,174008.964|||116005.976,174008.964|||116005.976,,,,,2018
15,SUD-18/HSD20/RE/H-N-WASH-ESNFIs/INGO/9210,4|||7|||9|||11,25.00|||25.00|||25.00|||25.00,292##293##,South Darfur,Dimsu,,,,,519##562##346##375|||520##564##347##375|||519##562##346##375|||519##562##346##375,519##562##346##375|||520##564##347##375|||519##562##346##375|||519##562##346##375,,,,,"11.64886390,24.90422080","10.94984400,24.57997000",,,,,164501.193|||164501.193|||164501.193|||164501.193,164501.193|||164501.193|||164501.193|||164501.193,,,,,2018
15,SUD-18/HSD20/RE/L/UN/10939,8,100.00,292##,Blue Nile,,,,,,27##27##0##0,,,,,,"11.58600780,34.15319470",,,,,,10000.000,,,,,,2018
15,SUD-18/HSD20/RE/L/UN/10939,8,100.00,292##,Central Darfur,,,,,,162##162##0##0,,,,,,"12.33330000,23.41670000",,,,,,60000.000,,,,,,2018
15,SUD-18/HSD20/RE/L/UN/10939,8,100.00,292##,Kassala,,,,,,27##27##0##0,,,,,,"15.45000000,36.40000000",,,,,,10000.000,,,,,,2018
15,SUD-18/HSD20/RE/L/UN/10939,8,100.00,292##,Khartoum,,,,,,594##594##0##0,,,,,,"15.56666700,32.51666700",,,,,,220000.000,,,,,,2018
15,SUD-18/HSD20/RE/L/UN/10939,8,100.00,292##,North Darfur,,,,,,594##594##0##0,,,,,,"15.76619690,24.90422080",,,,,,220000.000,,,,,,2018
15,SUD-18/HSD20/RE/L/UN/10939,8,100.00,292##,North Kordofan,,,,,,27##27##0##0,,,,,,"13.83064410,29.41793240",,,,,,10000.000,,,,,,2018
