PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr
15,CBPF-SUD-25-R-INGO-35060,7,100.00,69##70##,Khartoum,Khartoum,,,,,5396##7936##18031##16737,5396##7936##18031##16737,,,,,"15.56666700,32.51666700","15.57252700,32.53635300",,,,,4000000.00,4000000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35589,4,100.00,69##70##,North Darfur,Tawilla,,,,,6864##8184##5016##6336,6864##8184##5016##6336,,,,,"15.76619690,24.90422080","13.51573400,24.86525500",,,,,1500000.00,1500000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35591,7|||11,50.00|||50.00,69##70##,Gedaref,El Fashaga,,,,,0##0##0##0|||687##715##1029##1071,0##0##0##0|||687##715##1029##1071,,,,,"14.03333300,35.38333300","14.39727900,35.86442300",,,,,0.00|||140000.00,0.00|||140000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35591,7|||11,50.00|||50.00,69##70##,Gedaref,El Faw,,,,,1919##2835##757##971|||687##715##1029##1071,1919##2835##757##971|||687##715##1029##1071,,,,,"14.03333300,35.38333300","14.15000000,34.33333300",,,,,280000.00|||140000.00,280000.00|||140000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35591,7|||11,50.00|||50.00,69##70##,Gedaref,EL Rahad,,,,,1918##2833##758##969|||687##715##1029##1071,1918##2833##758##969|||687##715##1029##1071,,,,,"14.03333300,35.38333300","13.43111600,34.62863800",,,,,280000.00|||140000.00,280000.00|||140000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35591,7|||11,50.00|||50.00,69##70##,Gedaref,Middle Gedaref,,,,,0##0##0##0|||683##711##1029##1071,0##0##0##0|||683##711##1029##1071,,,,,"14.03333300,35.38333300","14.04793100,35.38835000",,,,,0.00|||140000.00,0.00|||140000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35607,4,100.00,69##70##,Central Darfur,Golo (Central Jebel Marra),,,,,8424##8856##12960##12960,8424##8856##12960##12960,,,,,"12.33330000,23.41670000","13.12847000,24.28137000",,,,,800000.00,800000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35607,4,100.00,69##70##,Central Darfur,Nertiti (West Jebel Marra),,,,,2106##2214##3240##3240,2106##2214##3240##3240,,,,,"12.33330000,23.41670000","12.96680000,24.03358000",,,,,200000.00,200000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35608,4,100.00,69##70##,North Darfur,Tawilla,,,,,1165##2912##1249##2996,1165##2912##1249##2996,,,,,"15.76619690,24.90422080","13.51573400,24.86525500",,,,,499999.98,499999.98,,,,,2025
15,CBPF-SUD-25-R-INGO-35609,7,100.00,69##70##,White Nile,El Jabaleen,,,,,11148##11603##4777##4974,11148##11603##4777##4974,,,,,"13.24038810,32.53727410","12.58930800,32.80071200",,,,,425000.00,425000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35609,7,100.00,69##70##,White Nile,Tendalti,,,,,11147##11602##4777##4972,11147##11602##4777##4972,,,,,"13.24038810,32.53727410","13.00969000,31.86393400",,,,,425000.00,425000.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Al Gezira,E. El Jazeera,,,,,2556##2556##1850##1850,2556##2556##1850##1850,,,,,"14.02028570,33.08658440","15.04198900,33.20954100",,,,,80100.00,80100.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Al Gezira,El Kamleen,,,,,2556##2556##1850##1850,2556##2556##1850##1850,,,,,"14.02028570,33.08658440","15.07777800,33.17777800",,,,,80100.00,80100.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Al Gezira,Gre. Wad Madani,,,,,2556##2556##1850##1850,2556##2556##1850##1850,,,,,"14.02028570,33.08658440","14.40041300,33.51839500",,,,,80100.00,80100.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Al Gezira,S. El Jazeera,,,,,2556##2556##1850##1850,2556##2556##1850##1850,,,,,"14.02028570,33.08658440","14.76088000,33.37164000",,,,,80100.00,80100.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Al Gezira,Um El Qura,,,,,2556##2556##1850##1850,2556##2556##1850##1850,,,,,"14.02028570,33.08658440","14.26666700,33.73333300",,,,,80100.00,80100.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Ar Rahad,,,,,3448##3448##2497##2497,3448##3448##2497##2497,,,,,"13.83064410,29.41793240","13.83064410,29.41793240",,,,,108300.00,108300.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Bara,,,,,3454##3454##2501##2501,3454##3454##2501##2501,,,,,"13.83064410,29.41793240","13.69943700,30.37097700",,,,,108300.00,108300.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Jebrt El Sheekh,,,,,3454##3454##2501##2501,3454##3454##2501##2501,,,,,"13.83064410,29.41793240","14.20000000,30.88333300",,,,,108300.00,108300.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Shiekan,,,,,3454##3454##2501##2501,3454##3454##2501##2501,,,,,"13.83064410,29.41793240","12.73333300,30.25000000",,,,,108300.00,108300.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Sodari,,,,,3454##3454##2507##2507,3454##3454##2507##2507,,,,,"13.83064410,29.41793240","14.40967800,29.09945900",,,,,108300.00,108300.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,North Kordofan,Um Rwaba,,,,,3454##3454##2501##2501,3454##3454##2501##2501,,,,,"13.83064410,29.41793240","12.90946000,31.21708000",,,,,108300.00,108300.00,,,,,2025
15,CBPF-SUD-25-R-INGO-35610,10,100.00,69##70##,Sennar,EL Dali,,,,,794##794##576##576,794##794##576##576,,,,,"13.56746900,33.56720450","13.25000000,33.48333300",,,,,24900.00,24900.00,,,,,2025
