PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr
15,CBPF-SUD-23-R-INGO-24811,11,100.00,69##70##,White Nile,El Jabaleen,,,,,1825##2387##4212##5616,1825##2387##4212##5616,,,,,"13.24038810,32.53727410","12.58930800,32.80071200",,,,,499998.57,499998.57,,,,,2023
15,CBPF-SUD-23-R-INGO-24822,11,100.00,69##70##,West Darfur,El Geneina,,,,,26374##31445##19272##24344,26374##31445##19272##24344,,,,,"12.84635610,23.00119890","13.44126600,22.44540400",,,,,495000.00,495000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,Blue Nile,El Kurmuk,,,,,30878##30524##30449##30449,30878##30524##30449##30449,,,,,"11.58600780,34.15319470","10.55902000,34.28953000",,,,,10500.00,10500.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Al Buram,,,,,77506##77506##66024##66024,77506##77506##66024##66024,,,,,"11.19901920,29.41793240","10.62610400,29.94360000",,,,,22050.00,22050.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,AL Sunut,,,,,14285##14285##12170##12170,14285##14285##12170##12170,,,,,"11.19901920,29.41793240","12.33076400,29.05503900",,,,,9000.00,9000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Dellami,,,,,18641##18641##15879##15879,18641##18641##15879##15879,,,,,"11.19901920,29.41793240","12.25860000,29.74270000",,,,,4800.00,4800.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Delling,,,,,95811##95811##81617##81617,95811##95811##81617##81617,,,,,"11.19901920,29.41793240","12.04746300,29.65640800",,,,,18000.00,18000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,El Abassiya,,,,,25490##25490##21357##21357,25490##25490##21357##21357,,,,,"11.19901920,29.41793240","12.17040100,31.30858000",,,,,7500.00,7500.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Habila,,,,,14934##14934##12722##12722,14934##14934##12722##12722,,,,,"11.19901920,29.41793240","11.94139000,30.03583000",,,,,4500.00,4500.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Heiban,,,,,73145##73499##62611##62611,73145##73499##62611##62611,,,,,"11.19901920,29.41793240","11.21079000,30.52480000",,,,,21000.00,21000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Kadugli,,,,,12322##12322##10496##10496,12322##12322##10496##10496,,,,,"11.19901920,29.41793240","11.01423800,29.72940100",,,,,3450.00,3450.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Lagawa,,,,,38454##38454##32756##32756,38454##38454##32756##32756,,,,,"11.19901920,29.41793240","11.40523600,29.13726900",,,,,11700.00,11700.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Rashad,,,,,25072##25072##17266##17266,25072##25072##17266##17266,,,,,"11.19901920,29.41793240","11.85643000,31.06356000",,,,,6000.00,6000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Reif Asharqi,,,,,2274##2274##1936##1936,2274##2274##1936##1936,,,,,"11.19901920,29.41793240","11.14670000,30.14920000",,,,,6000.00,6000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-24841,12,100.00,69##70##,South Kordofan,Um Durein,,,,,98569##98569##83967##83967,98569##98569##83967##83967,,,,,"11.19901920,29.41793240","10.86140000,30.03280000",,,,,25500.00,25500.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Abu Gubeiha,,,,,1985##3205##1780##1780|||0##0##0##0|||0##0##0##0,1985##3205##1780##1780|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","11.45437600,31.23599100",,,,,166050.00|||0.00|||0.00,166050.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Al Buram,,,,,0##0##0##0|||713##1155##640##640|||144##144##720##720,0##0##0##0|||713##1155##640##640|||144##144##720##720,,,,,"11.19901920,29.41793240","10.62610400,29.94360000",,,,,0.00|||174352.50|||59778.00,0.00|||174352.50|||59778.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,AL Sunut,,,,,1588##2564##1424##1424|||381##615##342##342|||96##96##480##480,1588##2564##1424##1424|||381##615##342##342|||96##96##480##480,,,,,"11.19901920,29.41793240","12.33076400,29.05503900",,,,,132840.00|||92988.00|||39852.00,132840.00|||92988.00|||39852.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Dellami,,,,,1985##3205##1780##1780|||477##769##427##427|||120##120##600##600,1985##3205##1780##1780|||477##769##427##427|||120##120##600##600,,,,,"11.19901920,29.41793240","12.25860000,29.74270000",,,,,166050.00|||116235.00|||49815.00,166050.00|||116235.00|||49815.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Delling,,,,,2782##4487##2489##2490|||477##769##427##427|||96##96##480##480,2782##4487##2489##2490|||477##769##427##427|||96##96##480##480,,,,,"11.19901920,29.41793240","12.04746300,29.65640800",,,,,232470.00|||116235.00|||39852.00,232470.00|||116235.00|||39852.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,El Abassiya,,,,,1985##3205##1780##1780|||0##0##0##0|||0##0##0##0,1985##3205##1780##1780|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","12.17040100,31.30858000",,,,,166050.00|||0.00|||0.00,166050.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Habila,,,,,1588##2564##1424##1424|||381##615##342##342|||96##96##480##480,1588##2564##1424##1424|||381##615##342##342|||96##96##480##480,,,,,"11.19901920,29.41793240","11.94139000,30.03583000",,,,,132840.00|||92988.00|||39852.00,132840.00|||92988.00|||39852.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Heiban,,,,,2184##3526##1958##1958|||477##769##427##427|||180##180##900##900,2184##3526##1958##1958|||477##769##427##427|||180##180##900##900,,,,,"11.19901920,29.41793240","11.21079000,30.52480000",,,,,182655.00|||116235.00|||74722.50,182655.00|||116235.00|||74722.50,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Kadugli,,,,,1985##3205##1780##1780|||477##769##427##427|||0##0##0##0,1985##3205##1780##1780|||477##769##427##427|||0##0##0##0,,,,,"11.19901920,29.41793240","11.01423800,29.72940100",,,,,166050.00|||116235.00|||0.00,166050.00|||116235.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Lagawa,,,,,1985##3205##1780##1780|||334##539##299##299|||144##144##720##720,1985##3205##1780##1780|||334##539##299##299|||144##144##720##720,,,,,"11.19901920,29.41793240","11.40523600,29.13726900",,,,,166050.00|||81364.50|||59778.00,166050.00|||81364.50|||59778.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Rashad,,,,,1787##2885##1602##1602|||0##0##0##0|||144##144##720##720,1787##2885##1602##1602|||0##0##0##0|||144##144##720##720,,,,,"11.19901920,29.41793240","11.85643000,31.06356000",,,,,149445.00|||0.00|||59778.00,149445.00|||0.00|||59778.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Reif Asharqi,,,,,0##0##0##0|||238##385##214##214|||0##0##0##0,0##0##0##0|||238##385##214##214|||0##0##0##0,,,,,"11.19901920,29.41793240","11.14670000,30.14920000",,,,,0.00|||58117.50|||0.00,0.00|||58117.50|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Talodi,,,,,0##0##0##0|||286##462##256##256|||0##0##0##0,0##0##0##0|||286##462##256##256|||0##0##0##0,,,,,"11.19901920,29.41793240","10.59900000,30.32470000",,,,,0.00|||69741.00|||0.00,0.00|||69741.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25583,4|||6|||10,50.00|||35.00|||15.00,69##70##,South Kordofan,Um Durein,,,,,0##0##0##0|||524##846##470##470|||180##180##900##900,0##0##0##0|||524##846##470##470|||180##180##900##900,,,,,"11.19901920,29.41793240","10.86140000,30.03280000",,,,,0.00|||127858.50|||74722.50,0.00|||127858.50|||74722.50,,,,,2023
15,CBPF-SUD-23-R-INGO-25584,7|||11,50.00|||50.00,69##70##,South Kordofan,Dellami,,,,,467##537##653##676|||467##537##653##676,467##537##653##676|||467##537##653##676,,,,,"11.19901920,29.41793240","12.25860000,29.74270000",,,,,119000.00|||119000.00,119000.00|||119000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25584,7|||11,50.00|||50.00,69##70##,South Kordofan,Delling,,,,,467##537##653##676|||467##537##653##676,467##537##653##676|||467##537##653##676,,,,,"11.19901920,29.41793240","12.04746300,29.65640800",,,,,115500.00|||115500.00,115500.00|||115500.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25584,7|||11,50.00|||50.00,69##70##,South Kordofan,Um Durein,,,,,466##536##654##678|||466##536##654##678,466##536##654##678|||466##536##654##678,,,,,"11.19901920,29.41793240","10.86140000,30.03280000",,,,,115500.00|||115500.00,115500.00|||115500.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25585,4|||10|||11,33.00|||33.00|||34.00,69##70##,South Kordofan,Dellami,,,,,330##495##297##429|||330##495##297##429|||340##510##306##442,330##495##297##429|||330##495##297##429|||340##510##306##442,,,,,"11.19901920,29.41793240","12.25860000,29.74270000",,,,,164999.28|||164999.28|||169999.26,164999.28|||164999.28|||169999.26,,,,,2023
15,CBPF-SUD-23-R-INGO-25585,4|||10|||11,33.00|||33.00|||34.00,69##70##,South Kordofan,Heiban,,,,,330##495##297##429|||330##495##297##429|||340##510##306##442,330##495##297##429|||330##495##297##429|||340##510##306##442,,,,,"11.19901920,29.41793240","11.21079000,30.52480000",,,,,164999.28|||164999.28|||169999.26,164999.28|||164999.28|||169999.26,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Abu Gubeiha,,,,,551##674##0##0|||0##0##0##0|||0##0##0##0,551##674##0##0|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","11.45437600,31.23599100",,,,,55800.00|||0.00|||0.00,55800.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Al Buram,,,,,1103##1348##0##0|||6981##8196##3571##3571|||1533##1800##784##784,1103##1348##0##0|||6981##8196##3571##3571|||1533##1800##784##784,,,,,"11.19901920,29.41793240","10.62610400,29.94360000",,,,,111600.00|||100800.00|||63000.00,111600.00|||100800.00|||63000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,AL Sunut,,,,,551##674##0##0|||0##0##0##0|||0##0##0##0,551##674##0##0|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","12.33076400,29.05503900",,,,,55800.00|||0.00|||0.00,55800.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Dellami,,,,,882##1078##0##0|||2793##3279##1429##1429|||0##0##0##0,882##1078##0##0|||2793##3279##1429##1429|||0##0##0##0,,,,,"11.19901920,29.41793240","12.25860000,29.74270000",,,,,89280.00|||40320.00|||0.00,89280.00|||40320.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Delling,,,,,551##674##0##0|||0##0##0##0|||0##0##0##0,551##674##0##0|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","12.04746300,29.65640800",,,,,55800.00|||0.00|||0.00,55800.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,El Abassiya,,,,,1324##1614##0##0|||8727##10246##4464##4464|||0##0##0##0,1324##1614##0##0|||8727##10246##4464##4464|||0##0##0##0,,,,,"11.19901920,29.41793240","12.17040100,31.30858000",,,,,133920.00|||126000.00|||0.00,133920.00|||126000.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Habila,,,,,551##674##0##0|||0##0##0##0|||0##0##0##0,551##674##0##0|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","11.94139000,30.03583000",,,,,55800.00|||0.00|||0.00,55800.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Heiban,,,,,551##674##0##0|||0##0##0##0|||0##0##0##0,551##674##0##0|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","11.21079000,30.52480000",,,,,55800.00|||0.00|||0.00,55800.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Kadugli,,,,,1103##1348##0##0|||0##0##0##0|||1314##1543##672##672,1103##1348##0##0|||0##0##0##0|||1314##1543##672##672,,,,,"11.19901920,29.41793240","11.01423800,29.72940100",,,,,111600.00|||0.00|||54000.00,111600.00|||0.00|||54000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Lagawa,,,,,551##674##0##0|||0##0##0##0|||0##0##0##0,551##674##0##0|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","11.40523600,29.13726900",,,,,55800.00|||0.00|||0.00,55800.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Rashad,,,,,1323##1617##0##0|||9426##11063##4821##4821|||0##0##0##0,1323##1617##0##0|||9426##11063##4821##4821|||0##0##0##0,,,,,"11.19901920,29.41793240","11.85643000,31.06356000",,,,,133920.00|||136080.00|||0.00,133920.00|||136080.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Reif Asharqi,,,,,551##674##0##0|||0##0##0##0|||0##0##0##0,551##674##0##0|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","11.14670000,30.14920000",,,,,55800.00|||0.00|||0.00,55800.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Talodi,,,,,551##674##0##0|||0##0##0##0|||0##0##0##0,551##674##0##0|||0##0##0##0|||0##0##0##0,,,,,"11.19901920,29.41793240","10.59900000,30.32470000",,,,,55800.00|||0.00|||0.00,55800.00|||0.00|||0.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25586,4|||7|||11,62.00|||28.00|||10.00,69##70##,South Kordofan,Um Durein,,,,,882##1078##0##0|||6981##8196##3571##3571|||1532##1798##784##784,882##1078##0##0|||6981##8196##3571##3571|||1532##1798##784##784,,,,,"11.19901920,29.41793240","10.86140000,30.03280000",,,,,89280.00|||100800.00|||63000.00,89280.00|||100800.00|||63000.00,,,,,2023
15,CBPF-SUD-23-R-INGO-25587,10,100.00,69##70##,South Kordofan,Al Buram,,,,,1103##2748##1278##1698,1103##2748##1278##1698,,,,,"11.19901920,29.41793240","10.62610400,29.94360000",,,,,204891.51,204891.51,,,,,2023
15,CBPF-SUD-23-R-INGO-25587,10,100.00,69##70##,South Kordofan,Dellami,,,,,221##550##256##340,221##550##256##340,,,,,"11.19901920,29.41793240","12.25860000,29.74270000",,,,,40978.30,40978.30,,,,,2023
15,CBPF-SUD-23-R-INGO-25587,10,100.00,69##70##,South Kordofan,Heiban,,,,,1323##3342##1533##2037,1323##3342##1533##2037,,,,,"11.19901920,29.41793240","11.21079000,30.52480000",,,,,245869.82,245869.82,,,,,2023
15,CBPF-SUD-23-R-INGO-25587,10,100.00,69##70##,South Kordofan,Kadugli,,,,,221##550##256##340,221##550##256##340,,,,,"11.19901920,29.41793240","11.01423800,29.72940100",,,,,40978.30,40978.30,,,,,2023
15,CBPF-SUD-23-R-INGO-25587,10,100.00,69##70##,South Kordofan,Reif Asharqi,,,,,221##550##256##340,221##550##256##340,,,,,"11.19901920,29.41793240","11.14670000,30.14920000",,,,,40978.30,40978.30,,,,,2023
15,CBPF-SUD-23-R-INGO-25587,10,100.00,69##70##,South Kordofan,Talodi,,,,,219##547##254##337,219##547##254##337,,,,,"11.19901920,29.41793240","10.59900000,30.32470000",,,,,40978.30,40978.30,,,,,2023
15,CBPF-SUD-23-R-INGO-25587,10,100.00,69##70##,South Kordofan,Um Durein,,,,,1102##2881##1277##1698,1102##2881##1277##1698,,,,,"11.19901920,29.41793240","10.86140000,30.03280000",,,,,204891.51,204891.51,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Al Gezira,Gre. Wad Madani,,,,,2345##10991##10836##11684,2345##10991##10836##11684,,,,,"14.02028570,33.08658440","14.40041300,33.51839500",,,,,199999.95,199999.95,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Central Darfur,Golo (Central Jebel Marra),,,,,7814##8451##7495##8132,7814##8451##7495##8132,,,,,"12.33330000,23.41670000","13.12847000,24.28137000",,,,,74999.98,74999.98,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Central Darfur,Rokoro (North Jebel Marra),,,,,7814##8451##7495##8132,7814##8451##7495##8132,,,,,"12.33330000,23.41670000","13.27805600,24.44750000",,,,,74999.98,74999.98,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Central Darfur,Zalingei,,,,,95404##116606##21138##23835,95404##116606##21138##23835,,,,,"12.33330000,23.41670000","12.89998900,23.48106400",,,,,274999.93,274999.93,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,East Darfur,Abu Jabra,,,,,413##642##1367##1425,413##642##1367##1425,,,,,"14.37827470,24.90422080","11.06626500,26.85414700",,,,,149999.96,149999.96,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,East Darfur,Bahr El Arab,,,,,201##309##388##405,201##309##388##405,,,,,"14.37827470,24.90422080","10.95524100,26.38009600",,,,,62499.98,62499.98,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,East Darfur,Ed Daein,,,,,6276##6526##1190##1230,6276##6526##1190##1230,,,,,"14.37827470,24.90422080","11.42654100,26.14930600",,,,,149999.96,149999.96,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,East Darfur,El Ferdous,,,,,0##5##292##293,0##5##292##293,,,,,"14.37827470,24.90422080","11.09466700,25.79405600",,,,,37499.99,37499.99,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,East Darfur,Yassin,,,,,6277##6526##1190##1230,6277##6526##1190##1230,,,,,"14.37827470,24.90422080","11.54119000,25.56062000",,,,,149999.96,149999.96,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Gedaref,E. El Qalabat,,,,,0##565##400##414,0##565##400##414,,,,,"14.03333300,35.38333300","12.96666700,36.15000000",,,,,24999.99,24999.99,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Gedaref,El Faw,,,,,0##548##388##402,0##548##388##402,,,,,"14.03333300,35.38333300","14.15000000,34.33333300",,,,,24999.99,24999.99,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Gedaref,Middle Gedaref,,,,,6468##6724##1226##1267,6468##6724##1226##1267,,,,,"14.03333300,35.38333300","14.04793100,35.38835000",,,,,149999.96,149999.96,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Gedaref,S. EL Qalabat,,,,,0##548##387##403,0##548##387##403,,,,,"14.03333300,35.38333300","13.51666700,35.76666700",,,,,24999.99,24999.99,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Gedaref,W. EL Qalabat,,,,,6468##6724##1226##1267,6468##6724##1226##1267,,,,,"14.03333300,35.38333300","13.91666700,35.23333300",,,,,149999.96,149999.96,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Kassala,Halfa Eedeeda,,,,,6277##6526##1190##1230,6277##6526##1190##1230,,,,,"15.45000000,36.40000000","15.32685700,35.60808800",,,,,149999.96,149999.96,,,,,2023
15,CBPF-SUD-23-R-INGO-25606,9,100.00,69##70##,Kassala,Kassala,,,,,6277##8040##3074##2684,6277##8040##3074##2684,,,,,"15.45000000,36.40000000","15.42963000,36.41046200",,,,,299999.92,299999.92,,,,,2023
