PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,Khartoum,Bahri,,,,,24##26##187##188,24##26##187##188,,,,,"15.56666700,32.51666700","15.63649900,32.53033500",,,,,56282.54,56282.54,,,,,2019
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,Khartoum,Jebal Aulya,,,,,25##23##187##188,25##23##187##188,,,,,"15.56666700,32.51666700","15.25099700,32.52139400",,,,,56282.54,56282.54,,,,,2019
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,Khartoum,Sharq El Nile,,,,,25##25##187##188,25##25##187##188,,,,,"15.56666700,32.51666700","15.91666700,33.81666700",,,,,56282.54,56282.54,,,,,2019
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,Khartoum,Um Badah,,,,,25##25##189##186,25##25##189##186,,,,,"15.56666700,32.51666700","16.23333300,31.83333300",,,,,56282.54,56282.54,,,,,2019
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,White Nile,El Jabaleen,,,,,65##65##415##415,65##65##415##415,,,,,"13.24038810,32.53727410","12.58930800,32.80071200",,,,,90052.06,90052.06,,,,,2019
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,White Nile,El Salam,,,,,65##65##415##415,65##65##415##415,,,,,"13.24038810,32.53727410","12.50000000,32.37500000",,,,,92553.50,92553.50,,,,,2019
15,SUD-19/HSD20/RE/E/UN/14146,3,100.00,292##293##,White Nile,Um Ramtta,,,,,71##71##420##420,71##71##420##420,,,,,"13.24038810,32.53727410","14.85000000,32.06666700",,,,,92553.50,92553.50,,,,,2019
15,SUD-19/HSD20/RE/ESNFIs/INGO/13249,4,100.00,292##293##,South Darfur,Nyala (Otash and Dereige),,,,,1800##2700##2250##2250,1800##2700##2250##2250,,,,,"11.64886390,24.90422080","12.11500800,24.83135000",,,,,200016.10,200016.10,,,,,2019
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,Central Darfur,Zalingei,,,,,1849##2451##2774##3677,1849##2451##2774##3677,,,,,"12.33330000,23.41670000","12.89998900,23.48106400",,,,,150000.00,150000.00,,,,,2019
15,SUD-19/HSD20/RE/ESNFIs/UN/14133,4,100.00,292##293##,East Darfur,Ed Daein,,,,,0##0##0##0,0##0##0##0,,,,,"14.37827470,24.90422080","11.42654100,26.14930600",,,,,0.00,0.00,,,,,2019
